Asset,Window,Cutoff,Ann_Return,Sharpe,Win_Rate
南方原油,30,300,0.21297982576331148,1.0828892212711587,0.5146137787056367
南方原油,30,400,0.19026731136996403,0.8914855889661439,0.5145145145145145
南方原油,30,500,0.18250090811108846,0.8277370763262102,0.512291052114061
南方原油,30,600,0.17979951076894654,0.8149963799462239,0.5117647058823529
南方原油,30,800,0.17652910635540459,0.7871719757183426,0.512218963831867
南方原油,30,1000,0.18912614697711147,0.8331266776666275,0.5126953125
南方原油,30,None,0.14867825650341107,0.6344219847423355,0.5107003891050583
上证180,20,300,0.010558236791549172,0.08181349091697855,0.4994807892004154
上证180,20,400,0.012356444113575778,0.09439480119395309,0.4984552008238929
上证180,20,500,0.012811667921566346,0.09731882568761062,0.4984583761562179
上证180,20,600,0.013371503042124675,0.10156322659075256,0.49846153846153846
上证180,20,800,0.014180177553426905,0.10670892812431033,0.500507614213198
上证180,20,1000,0.014180177553426905,0.10670892812431033,0.500507614213198
上证180,20,None,-0.0006231590062080246,-0.004505295793596751,0.499
上证180,25,300,0.00946459564140416,0.06940269666219251,0.5059203444564048
上证180,25,400,0.012706773681275237,0.0929667350933228,0.5058823529411764
上证180,25,500,0.019153973789128875,0.13965657793551478,0.5079702444208289
上证180,25,600,0.02108563106626157,0.1530251467717769,0.5095137420718816
上证180,25,800,0.016724288881898815,0.1202474199399995,0.5094339622641509
上证180,25,1000,0.015543658390183936,0.11072604071613965,0.5104166666666666
上证180,25,None,0.00927587234800857,0.06588479037201082,0.508298755186722
上证180,30,300,0.0126586084382889,0.09444915075986199,0.49838187702265374
上证180,30,400,0.0047089150542901385,0.03467737108553456,0.4984025559105431
上证180,30,500,0.008195624151423268,0.05946981215640866,0.4989495798319328
上证180,30,600,0.0010037288261901215,0.007235198061393822,0.4994797086368366
上证180,30,800,0.0010037288261901215,0.007235198061393822,0.4994797086368366
上证180,30,1000,0.0010037288261901215,0.007235198061393822,0.4994797086368366
上证180,30,None,0.0010037288261901215,0.007235198061393822,0.4994797086368366
30年国债,20,300,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,400,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,500,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,600,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,800,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,1000,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,20,None,0.06682187079813989,1.163935165388129,0.6076294277929155
30年国债,25,300,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,400,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,500,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,600,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,800,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,1000,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,25,None,0.05535018734089183,0.9835738780994209,0.592391304347826
30年国债,30,300,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,400,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,500,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,600,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,800,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,1000,0.04734292292335521,0.8348859781647148,0.5772357723577236
30年国债,30,None,0.04734292292335521,0.8348859781647148,0.5772357723577236
港股科技,20,300,0.11418870134044835,0.6065780752419886,0.49640287769784175
港股科技,20,400,0.09037598722979609,0.46642812291074537,0.4896551724137931
港股科技,20,500,0.09780112214075638,0.49518701140149907,0.49099099099099097
港股科技,20,600,0.09278101666663313,0.4646266311480159,0.4922048997772829
港股科技,20,800,0.10319115421311555,0.513598218733771,0.4956140350877193
港股科技,20,1000,0.1277984694490054,0.6184058606786748,0.49671772428884026
港股科技,20,None,0.1235671185451995,0.5559507306670202,0.49290060851926976
港股科技,25,300,0.1472626013744555,0.7743385017932697,0.5107913669064749
港股科技,25,400,0.15790807886048147,0.7913889816068768,0.5069444444444444
港股科技,25,500,0.14628515261914218,0.7269174406369103,0.504524886877828
港股科技,25,600,0.13463751261942628,0.6596151190433283,0.5033112582781457
港股科技,25,800,0.1310518438262122,0.6371214559287959,0.5043859649122807
港股科技,25,1000,0.12889864318885846,0.6257208803397892,0.5054466230936819
港股科技,25,None,0.15779268998889365,0.7167979974017148,0.5051334702258727
港股科技,30,300,0.09449628927004082,0.4874297598863924,0.5104408352668214
港股科技,30,400,0.09885828674032918,0.4976676585412662,0.5123042505592841
港股科技,30,500,0.10480802185766358,0.5260026926025311,0.512249443207127
港股科技,30,600,0.1137885693503268,0.5688797843922856,0.5133333333333333
港股科技,30,800,0.1009281734774647,0.4996506048856817,0.5110132158590308
港股科技,30,1000,0.0989191446730074,0.4885781891736666,0.5098468271334792
港股科技,30,None,0.12220733533753377,0.5691303260334725,0.5082304526748971
纳指100,20,300,0.1904021021099585,1.2350604170118331,0.5369908561928513
纳指100,20,400,0.1936563966636738,1.2411122901420166,0.5344827586206896
